cid	smiles	desc
0	O=[N+]([O-])C1=C(F)C=C(F)C(CO)=C1	O=CC1=CC([N+](=O)[O-])=C(F)C=C1F.C1CCOC1.Cl.[BH4-].[Na+]
1	O=C(O)CCC1CCCCCCCCCCC1	COC(=O)CCC1CCCCCCCCCCC1.CO.O.[Na+].[OH-]
2	O=C(O)C1=NC=C(OCC(F)(F)C(F)F)C=C1	COC(=O)C1=NC=C(OCC(F)(F)C(F)F)C=C1.C1CCOC1.O.[Li+].[OH-]
3	CC(=O)NCC1=C(NC2=CC=C(Cl)C=C2)N=C(N2N=C(C)C=C2C)C=N1	CC(=O)OC(C)=O.CC1=CC(C)=NN1C1=NC(NC2=CC=C(Cl)C=C2)=C(CN)N=C1.CCN(CC)CC.ClCCl.O=C([O-])O.[Na+]
4	C=CCOC1=CC(Cl)=C(CC2=CC=C(OCC)C=C2)C=C1Br	C=CCBr.CCOC1=CC=C(CC2=C(Cl)C=C(O)C(Br)=C2)C=C1.CC(C)=O.O=C([O-])[O-].[K+].[K+]
5	CC1=NC=C(NC(=O)[C@H](CC2CCC(=O)CC2)C2=CC(Cl)=C(S(C)(=O)=O)C=C2)N=C1	CS(=O)(=O)C1=C(Cl)C=C([C@@H](CC2CCC(=O)CC2)C(=O)O)C=C1.CC1=NC=C(N)N=C1.CC1=CC=CC(C)=N1.ClCCl.O=C1CCC(=O)N1Br.C1=CC=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1
6	CCOCC1=NC2=C(C3=CC=CC=C3N=C2N)N1NCCCN	CCOCC1=NC2=C(C3=CC=CC=C3N=C2N)N1NCCCNC(=O)OC(C)(C)C.CCO.Cl.O.[Na+].[OH-]
7	C=CCOCCCCCO	C=CCBr.OCCCCCO.CCCCC(O)O.CCOC(C)=O.CN(C)C=O.[H-].[Na+]
8	COC1=C(N2C(=O)C=NC3=C2C=CC(S(=O)(=O)NC2=NOC=C2)=C3)C=C(F)C(C#CC2CCCC2)=C1	C#CC1CCCC1.COC1=C(N2C(=O)C=NC3=C2C=CC(S(=O)(=O)NC2=NOC=C2)=C3)C=C(F)C(Br)=C1.CC(C)NC(C)C.CCOC(C)=O.CN(C)C=O.[Cu][I].C1=CC=C([PH](C2=CC=CC=C2)(C2=CC=CC=C2)[Pd]([PH](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)([PH](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)[PH](C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1
9	CCOC1=C(C2=CC=CC3=C2CCC3=O)C=CC(OC(F)F)=C1OC	CCI.COC1=C(OC(F)F)C=CC(C2=CC=CC3=C2CCC3=O)=C1O.CC#N.O=C([O-])[O-].[K+].[K+]
10	COC1=C(C(C)N2CCNCC2)C2=C(C=C1)C(=O)/C(=C/C1=NNC3=CC=CC=C31)O2	COC1=C(C(C)N2CCN(C(=O)OC(C)(C)C)CC2)C2=C(C=C1)C(=O)/C(=C/C1=NNC3=CC=CC=C31)O2.C1COCCO1.Cl.ClCCl
11	COCC(=O)NC1=C(F)C=CC([N+](=O)[O-])=C1	COCC(=O)Cl.NC1=C(F)C=CC([N+](=O)[O-])=C1.CCN(CC)CC.ClCCl.O
12	COC(=O)NC1=CC2=C(C=C1)NC=C2C1CCN(C)CC1	CN1CCC(C2=CNC3=C2C=C(N)C=C3)CC1.COC(=O)Cl.ClCCl
13	O=C(O)[C@@H](CCCC(F)(F)F)[C@@H](CCC(F)(F)F)C(=O)N[C@H]1N=C(C2=CC=CC=C2)C2=CC=CC=C2N(C2=CC=CC=N2)C1=O	CC(C)(C)OC(=O)[C@@H](CCCC(F)(F)F)[C@@H](CCC(F)(F)F)C(=O)N[C@H]1N=C(C2=CC=CC=C2)C2=CC=CC=C2N(C2=CC=CC=N2)C1=O.ClCCl.O=C(O)C(F)(F)F
14	C/C(=C\C1=CC=C(C(=O)O)C=C1)C1=CC2=C(C=C1)OCCC2(C)C	CCOC(=O)C1=CC=C(/C=C(\C)C2=CC3=C(C=C2)OCCC3(C)C)C=C1.CCO.O.O=S(=O)(O)O.[K+].[OH-]
15	CS(=O)(=O)C(C1=CC=CC(CO)=C1)=C1CN(C(C2=CC=C(Cl)C=C2)C2=CC=C(Cl)C=C2)C1	CC(C)(C)[Si](C)(C)OCC1=CC(C(=C2CN(C(C3=CC=C(Cl)C=C3)C3=CC=C(Cl)C=C3)C2)S(C)(=O)=O)=CC=C1.C1CCOC1.CCCC[N+](CCCC)(CCCC)CCCC.ClCCl.[F-]
16	CCOC(=O)C1=C(OCC)C(N2CCOCC2)=NC(C2=CC=C(NC(=O)NC3=CC=CC=C3)C=C2)=N1	CCOC(=O)C1=C(OCC)C(N2CCOCC2)=NC(C2=CC=C(N)C=C2)=N1.O=C=NC1=CC=CC=C1.CC1=CC=CC=C1
17	CC1C(=O)NN=C2COC3=C(C=C(C4CCN(C(=O)OC(C)(C)C)CC4)C=C3)N21	CC1C(=O)NN=C2COC3=C(C=C(C4=CCN(C(=O)OC(C)(C)C)CC4)C=C3)N21.CO.[Pd]
18	O=C(C1=CC(C(F)(F)F)=CC=C1)N1CCC(=O)N2C[C@@H](OC3=NC=C(C4CC4)N=C3)C[C@@H]2C1	O=C(Cl)C1=CC(C(F)(F)F)=CC=C1.O=C1CCNC[C@H]2C[C@H](OC3=NC=C(C4CC4)N=C3)CN12.CCN(CC)CC.CN(C)C1=CC=NC=C1.Cl.ClCCl
19	CN(C)CCCNC1=NC=CC2=C(C3=CC=C4C=C(NC(=O)C5=CSC=C5)C=CC4=C3)C=CC=C12	CC1(C)OB(C2=CC=C3C=C(NC(=O)C4=CSC=C4)C=CC3=C2)OC1(C)C.CN(C)CCCNC1=NC=CC2=C(Br)C=CC=C12.C1COCCO1.ClCCl.O.O=C([O-])[O-].[K+].[K+]
20	CCOC(=O)CCCOC1=CC=CC(CCCCCCOC2=CC(OCC3=CC=CC=C3)=CC(C3=CC4=C(C=C3)OCO4)=C2)=C1CCC(=O)OCC	CCOC(=O)CCCOC1=CC=CC(CCCCCCOC2=CC(OCC3=CC=CC=C3)=CC(Br)=C2)=C1CCC(=O)OCC.OB(O)C1=CC2=C(C=C1)OCO2.[Cl][Pd][Cl].O=C([O-])[O-].[Cs+].[Cs+].[Fe+2].C1=CC=C(P(C2=CC=CC=C2)[C-]2C=CC=C2)C=C1.C1=CC=C(P(C2=CC=CC=C2)[C-]2C=CC=C2)C=C1
21	BrCCOC1=C(Br)C=CC(Br)=C1	BrCCBr.OC1=C(Br)C=CC(Br)=C1.[Na+].[OH-]
22	CNC(=O)OC(C)(C)C	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CN.C1CCOC1
23	CCOC(=O)C1=CN(C2=NC3=C(C=C(C4=CC=CC=C4C)C=C3)C(=O)N2)N=C1	CCOC(=O)C1=CN(C2=NC3=C(C=C(C4=CC=CC=C4C)C=C3)C(=O)N2COCC[Si](C)(C)C)N=C1.C1COCCO1.Cl
