cid	smiles	desc
0	COC1=CC(C2CC(C)(C)C3=C(C=CC(C(=O)O)=C3)N2)=CC=C1.CS(N)(=O)=O	COC1=CC(C2CC(C)(C)C3=C(C=CC(C(=O)NS(C)(=O)=O)=C3)N2)=CC=C1
1	CC(O)C1CN(CC2=CC=CC=C2)CC1C1=CC=C(C#N)C=C1.N#CC1=CN=C(Cl)C=C1	CC(OC1=NC=C(C#N)C=C1)C1CN(CC2=CC=CC=C2)CC1C1=CC=C(C#N)C=C1
2	COC1=C(C(C)NC(=O)OCC2=CC=CC=C2)C=C(Cl)C(Cl)=C1C1CN(C(=O)OC(C)(C)C)C1	COC1=C(C(C)NC(=O)OCC2=CC=CC=C2)C=C(Cl)C(Cl)=C1C1CNC1
3	BrBr.O=[N+]([O-])C1=C(Cl)C=C(Cl)C(F)=C1	O=[N+]([O-])C1=C(Cl)C(Br)=C(Cl)C(F)=C1
4	CCOC(=O)C1=CN=C(N2CC3CN(S(=O)(=O)C4=CC5=CC=CC=C5C=C4)CC3C2)N=C1	O=C(O)C1=CN=C(N2CC3CN(S(=O)(=O)C4=CC5=CC=CC=C5C=C4)CC3C2)N=C1
5	CC(C)(C)[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1.CCOC(=O)C1=CSC(N2CC[C@H](O)C2)=N1	CCOC(=O)C1=CSC(N2CC[C@H](O[Si](C3=CC=CC=C3)(C3=CC=CC=C3)C(C)(C)C)C2)=N1
6	CCCCCCCCCCCCCCCCCCCCCC(=O)Cl.NC1=CC=C([N+](=O)[O-])C=C1	CCCCCCCCCCCCCCCCCCCCCC(=O)NC1=CC=C([N+](=O)[O-])C=C1
7	COC(=O)C1=CC=CN=C1	O=C(O)C1=CC=CN=C1
8	CNC.O=C(O)C(O)C1=CC=CC=C1C1=CC2=C(C=C1)NC(COC1=CC=C(C(F)(F)F)C=C1)=N2	CN(C)C(=O)C(O)C1=CC=CC=C1C1=CC2=C(C=C1)NC(COC1=CC=C(C(F)(F)F)C=C1)=N2
9	CC1=C(C=O)C2=C(C(NCC3=CC=CC=C3)=NN=C2)N1CC1=CC=CC=C1	CC1=C(CO)C2=C(C(NCC3=CC=CC=C3)=NN=C2)N1CC1=CC=CC=C1
10	CN1CCC(SC2=CC(N)=CC(F)=C2)CC1.O=C(Cl)C1=C(Cl)C=C(F)C=C1	CN1CCC(SC2=CC(F)=CC(NC(=O)C3=C(Cl)C=C(F)C=C3)=C2)CC1
11	CC(=O)OC(C)=O.CC(C)(C)OC(=O)CC(O)CCC1=CC=C(C2=CC=CC=C2)C=C1	CC(=O)OC(CCC1=CC=C(C2=CC=CC=C2)C=C1)CC(=O)OC(C)(C)C
12	CC(C)COC(=O)Cl.CN1C2=CC=CC=C2C(C2=CC=CC=C2F)=NCC1CN	CC(C)COC(=O)NCC1CN=C(C2=CC=CC=C2F)C2=CC=CC=C2N1C
13	CN(C1=NN=C(C(F)(F)F)S1)C1CCNCC1.FC1=CC=C(CCl)C=C1	CN(C1=NN=C(C(F)(F)F)S1)C1CCN(CC2=CC=C(F)C=C2)CC1
14	COC(=O)CBr.NC(=O)C1=C2C(=CC=C1)N(CC1=CC(C(F)(F)F)=CC=C1)C1=CC=CC(O)=C12	COC(=O)COC1=C2C(=CC=C1)N(CC1=CC(C(F)(F)F)=CC=C1)C1=CC=CC(C(N)=O)=C12
15	COC(=O)C1=CC2=C(C=C1)OCCC2NC(=O)C1=CC=CC=C1Cl	O=C(O)C1=CC2=C(C=C1)OCCC2NC(=O)C1=CC=CC=C1Cl
16	NC1=CC(C2=CN(CC3=CC=CC=C3)N=C2)=CC=C1.O=C(O)C1=CC2=CC=CC(O)=C2OC1=O	O=C(NC1=CC(C2=CN(CC3=CC=CC=C3)N=C2)=CC=C1)C1=CC2=CC=CC(O)=C2OC1=O
17	CC(C)(C)OC(=O)N1CCN(CCN)CC1.CC1=C(C(=O)O)C(C)=C(/C=C2\C(=O)NC3=C2C=C(S(=O)(=O)CC2=C(Cl)C=CC=C2Cl)C=C3)N1	CC1=C(C(=O)NCCN2CCN(C(=O)OC(C)(C)C)CC2)C(C)=C(/C=C2\C(=O)NC3=C2C=C(S(=O)(=O)CC2=C(Cl)C=CC=C2Cl)C=C3)N1
18	BrBr.NC1=CC=C(C2=NC3=CC=CC=C3S2)C=C1	NC1=C(Br)C=C(C2=NC3=CC=CC=C3S2)C=C1
19	CC1=C(OCCC(=O)O)C=CC(Cl)=C1	CC1=C2OCCC(=O)C2=CC(Cl)=C1
20	CO.O=C(O)C1=CC(Br)=C(Cl)C=C1	COC(=O)C1=CC(Br)=C(Cl)C=C1
21	CC1CCN(C(=O)N2CCOC3=C(C=C(C4=CC([N+](=O)[O-])=C(N)N=C4)C=C3)C2)CC1	CC1CCN(C(=O)N2CCOC3=C(C=C(C4=CC(N)=C(N)N=C4)C=C3)C2)CC1
22	CCI.NC(=O)C1=C(NC(=O)CN2C=C(CO)C(C(F)(F)F)=N2)SC2=C1CCCC2	CCOCC1=CN(CC(=O)NC2=C(C(N)=O)C3=C(CCCC3)S2)N=C1C(F)(F)F
23	NCC1=CC=C(N2C(C3=CC=CN=C3N)=NC3=C2N=CC(C2=CC=CN=C2)=C3)C=C1.O=C(O)C1=CC=CC=C1	NC1=NC=CC=C1C1=NC2=C(N=CC(C3=CC=CN=C3)=C2)N1C1=CC=C(CNC(=O)C2=CC=CC=C2)C=C1
24	COC(=O)C1=CN=C(OCC2=C(C(F)(F)F)ON=C2C2=CC=CC=C2)C=C1.NCC1CC1	O=C(NCC1CC1)C1=CN=C(OCC2=C(C(F)(F)F)ON=C2C2=CC=CC=C2)C=C1
25	O=C(O)C1=CC(Cl)=C2C=NNC2=C1	OCC1=CC(Cl)=C2C=NNC2=C1
26	CCCCCCCCCCOC1=CC(CO)=CC(OCCCCCCCCCC)=C1.O=S(Cl)Cl	CCCCCCCCCCOC1=CC(CCl)=CC(OCCCCCCCCCC)=C1
27	CCOC(=O)/C(=C/C1=CC(OC)=CC=C1)CC	CC/C(=C\C1=CC(OC)=CC=C1)C(=O)O
28	C=C(C)C(=O)O.NC1=CC=C(C(=O)O)C=C1	C=C(C)C(=O)NC1=CC=C(C(=O)O)C=C1
29	CC1=CC=C(S(=O)(=O)Cl)C=C1.OC1=CC(O)=C(O)C=C1	CC1=CC=C(S(=O)(=O)OC2=CC(O)=C(O)C=C2)C=C1
30	CN1C(=O)N(C2=CC=CC=N2)CC1C(=O)O.NCC1=C(Cl)C(C(F)(F)F)=CC=C1	CN1C(=O)N(C2=CC=CC=N2)CC1C(=O)NCC1=C(Cl)C(C(F)(F)F)=CC=C1
31	CCC(=O)C1=C(O)CC(C2=C(C)C([N+](=O)[O-])=C(C)C(C(C)=O)=C2C)CC1=O	CCC(=O)C1=C(O)CC(C2=C(C)C(N)=C(C)C(C(C)=O)=C2C)CC1=O
32	CI.O=C1CCC2=C(OCC3CO3)C=CC(OCC3=CC=CC=C3)=C2N1	CN1C(=O)CCC2=C(OCC3CO3)C=CC(OCC3=CC=CC=C3)=C21
33	COC(=O)C1=CC(Br)=C(C(N)=O)C=C1	NC(=O)C1=C(Br)C=C(C(=O)O)C=C1
34	COC1=CC=C(CO[C@@H]([C@@H](C)CO)[C@@H](C)CO[Si](C)(C)C(C)(C)C)C=C1	COC1=CC=C(CO[C@@H]([C@@H](C)C=O)[C@@H](C)CO[Si](C)(C)C(C)(C)C)C=C1
35	NCC(CN)C1=CC=CC=C1.O=S(=O)(Cl)C1=C2C=CN=CC2=CC=C1	NCC(CNS(=O)(=O)C1=C2C=CN=CC2=CC=C1)C1=CC=CC=C1
36	CC(C)(C)[Si](C)(C)Cl.NC1=NC(CO)=CC=C1	CC(C)(C)[Si](C)(C)OCC1=CC=CC(N)=N1
37	C1COCCN1.CC1=NC2=C([N+](=O)[O-])C=CC=C2C(Cl)=N1	CC1=NC2=C([N+](=O)[O-])C=CC=C2C(N2CCOCC2)=N1
38	CC(C)(C)C1=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C1	CC(C)(C)C1=CC(N)=C(S(C)(=O)=O)C=C1
39	CC[C@@H](N)CN1C(=O)C2=CC=CC=C2C1=O.N#CC1=C(NC2=CC3=CC=CN=C3C=C2)N=C(Cl)C(F)=C1	CC[C@H](CN1C(=O)C2=CC=CC=C2C1=O)NC1=NC(NC2=CC3=CC=CN=C3C=C2)=C(C#N)C=C1F
40	CO.CC1=C(C(=O)O)C=CC([N+](=O)[O-])=C1	COC(=O)C1=C(C)C=C([N+](=O)[O-])C=C1
41	COC1=C([N+](=O)[O-])C=C(C(F)(F)F)C=C1	COC1=C(N)C=C(C(F)(F)F)C=C1
